Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-02-08,89.550003,90.199997,88.949997,89.199997,89.199997,223600,1103
2018-02-09,89.900002,91,88.699997,90.349998,90.349998,195200,1104
2018-02-12,90.400002,92.449997,89.650002,91.949997,91.949997,188900,1105
2018-02-13,91.349998,91.75,89.150002,90.849998,90.849998,186400,1106
2018-02-14,90.400002,93.650002,88.669998,93.150002,93.150002,146700,1107
2018-02-15,93.75,93.75,92.099998,92.599998,92.599998,92200,1108
2018-02-16,92.150002,92.849998,91.93,92.099998,92.099998,77700,1109
2018-02-20,91.800003,92.349998,91,91.050003,91.050003,83100,1110
2018-02-21,91.300003,92.75,91.300003,91.949997,91.949997,96200,1111
2018-02-22,92.300003,93.150002,91.449997,91.5,91.5,117200,1112
2018-02-23,92,92.620003,91.25,91.699997,91.699997,70100,1113
